Pixel_X,Pixel_Y,Point_Cloud_X,Point_Cloud_Y,Point_Cloud_Z
672,942,-96.903076171875,111.8675765991211,431.71905517578125
672,943,-96.903076171875,112.17808532714844,431.71905517578125
672,944,-96.84362030029297,112.4195556640625,431.4541320800781
672,945,-96.7322769165039,112.60025787353516,430.95806884765625
672,946,-96.7322769165039,112.91021728515625,430.95806884765625
672,947,-96.7322769165039,113.22017669677734,430.95806884765625
673,930,-99.52819061279297,111.42811584472656,444.8397521972656
673,931,-99.52819061279297,111.748046875,444.8397216796875
673,932,-98.91796112060547,111.38087463378906,442.1123046875
673,933,-98.71163940429688,111.46588897705078,441.190185546875
673,934,-98.62753295898438,111.68795776367188,440.81427001953125
673,935,-98.1615982055664,111.47586822509766,438.73175048828125
673,936,-97.67829895019531,111.24101257324219,436.5716857910156
673,937,-97.65322875976562,111.5263671875,436.4595947265625
673,938,-97.01871490478516,111.11360168457031,433.6236877441406
673,939,-96.24601745605469,110.53803253173828,430.17010498046875
673,940,-96.49598693847656,111.13531494140625,431.2873229980469
673,941,-96.59429168701172,111.55905151367188,431.7267150878906
673,942,-96.5875244140625,111.86173248291016,431.6965026855469
673,943,-96.51353454589844,112.08628845214844,431.3658142089844
673,944,-96.42632293701172,112.29496765136719,430.9759826660156
673,945,-96.32756805419922,112.4896240234375,430.53460693359375
673,946,-96.32756042480469,112.79926300048828,430.5345764160156
673,947,-96.32756042480469,113.1089096069336,430.5345764160156
674,932,-98.37883758544922,111.13107299804688,441.1207275390625
674,933,-98.36279296875,111.43016052246094,441.0487976074219
674,934,-98.30394744873047,111.68053436279297,440.78497314453125
674,935,-97.85527038574219,111.48638916015625,438.77313232421875
674,936,-97.38092041015625,111.25999450683594,436.64617919921875
674,937,-97.34342956542969,111.53108978271484,436.4780578613281
674,938,-96.61518096923828,111.00828552246094,433.21270751953125
674,939,-95.8361587524414,110.42227172851562,429.7196350097656
674,940,-96.88665008544922,111.94509887695312,434.4299011230469
674,941,-96.85054016113281,112.21572875976562,434.2680358886719
674,942,-96.14449310302734,111.70772552490234,431.1021728515625
674,943,-96.09036254882812,111.95471954345703,430.85943603515625
674,944,-96.02346801757812,112.18645477294922,430.5595397949219
674,945,-95.94546508789062,112.40473937988281,430.2097473144531
674,946,-95.92694854736328,112.69241333007812,430.1267395019531
674,947,-96.07308959960938,113.1739273071289,430.7820129394531
674,948,-96.99562072753906,114.57347869873047,434.9185791015625
674,949,-97.14608001708984,115.06449127197266,435.59320068359375
675,932,-98.06156921386719,111.13107299804688,441.1207275390625
675,933,-98.04557800292969,111.43016052246094,441.0487976074219
